PortfolioManager,SecurityType,Elbow,Currency,Net Amount,Quantity
S598958A,CB,1,USD,15171960.38,2708851.00
S598958A,CB,1,USD,19612825.80,10469.00
S598958A,CB,1,USD,38589986.77,454544.00
S598958A,CB,1,USD,12571312.79,60497.00
S598958A,CB,1,USD,11110969.90,49173.00
S598958A,CB,1,USD,10188579.32,7532.00
S598958A,CB,1,USD,31373230.23,104999.00
S598958A,CB,1,USD,10158509.19,7513.00
S598958A,CB,1,USD,10885001.38,78850.00
S598958A,CB,1,USD,30572370.12,191785.00
S598958A,CB,1,USD,12629538.35,477704.00
S598958A,CB,1,USD,10640806.13,125336.00
S598958A,CB,1,USD,12433116.65,54163.00
S598958A,CB,1,USD,14748324.55,66635.00
S598958A,CB,1,USD,35004746.11,211241.00
S598958A,CB,1,USD,11871253.12,86848.00
S598958A,CB,1,USD,12296319.00,8275.00
S598958A,CB,1,USD,10804744.02,72877.00
S598958A,CB,1,USD,12315725.64,8298.00
S598958A,CB,1,USD,9854518.18,47398.00
S598958A,CB,1,USD,36743161.50,115650.00
S598958A,CB,1,USD,21768191.51,11533.00
S598958A,CB,1,USD,13291041.39,288898.00
S598958A,CB,1,USD,15663251.80,50120.00
S598958A,CB,1,USD,28778694.71,464538.00
S598958A,CB,1,USD,27167337.54,1001028.00
S598958A,CB,1,USD,9976497.33,108596.00
S598958A,CB,1,USD,13082239.92,482028.00
S598958A,CB,1,USD,10331450.58,378026.00
S598958A,CB,1,USD,9901825.93,289379.00
S598958A,CB,1,USD,19163887.43,168533.00
S598958A,CB,1,USD,58644358.30,187163.00
S598958A,CB,1,USD,10481304.69,33451.00
S598958A,CB,1,USD,86769265.94,274315.00
S598958A,CB,1,USD,15508169.70,49028.00
S598958A,CB,1,USD,14809187.00,284300.00
S598958A,CB,1,USD,15060171.20,281000.00
S598958A,CB,1,USD,10213488.92,67141.00
S598958A,CB,1,USD,9768426.06,180429.00
S598958A,CB,1,USD,11904679.42,103438.00
S598958A,CB,1,USD,41823359.38,173239.00
S598958A,CB,1,USD,10782515.58,71003.00
S598958A,CB,1,USD,14469892.20,81132.00
S598958A,CB,1,USD,32934608.40,17274.00
S598958A,CB,1,USD,15390474.85,99815.00
S598958A,CB,1,USD,48678975.84,316426.00
S598958A,CB,1,USD,13610542.33,12397.00
S598958A,CB,1,USD,10935785.70,130095.00
S598958A,CB,1,USD,13579107.17,12427.00
S598958A,CB,1,USD,14647759.70,109165.00
S598958A,CB,1,USD,22640914.22,173964.00
S598958A,CB,1,USD,11349539.71,64322.00
S598958A,CB,1,USD,10708554.41,37291.00
S598958A,CB,1,USD,11057212.58,64743.00
S598958A,CB,1,USD,9690699.25,60372.00
S598958A,CB,1,USD,13862415.00,42135.00
S598958A,CB,1,USD,11829161.89,70483.00
S598958A,CB,1,USD,15063725.91,140901.00
S598958A,CB,1,USD,11099220.00,201000.00
S598958A,CB,1,USD,18028447.10,323300.00
S598958A,CB,1,USD,10952661.01,196700.00
S598958A,CB,1,USD,33951166.24,89946.00
S598958A,CB,1,USD,9934966.40,496798.00
S598958A,CB,1,USD,40849524.54,96948.00
S598958A,CB,1,USD,12743684.64,890544.00
S598958A,CB,1,USD,15518613.90,41110.00
S598958A,CB,1,USD,18222720.66,36578.00
S598958A,CB,1,USD,11876330.24,636903.00
S598958A,CB,1,USD,36706117.77,173950.00
S598958A,CB,1,USD,10096661.81,47848.00
S598958A,CB,1,USD,16597252.46,78654.00
S598958A,CB,1,USD,12868085.36,22256.00
S598958A,CB,1,USD,29050006.93,83068.00
S598958A,CB,1,USD,18824845.82,129002.00
S598958A,CB,1,USD,22960015.29,50802.00
S598958A,CB,1,USD,27520087.27,85742.00
S598958A,CB,1,USD,30541112.07,91659.00
S598958A,CB,1,USD,17733582.47,503520.00
S598958A,CB,1,USD,12593206.94,39235.00
S598958A,CB,1,USD,14231046.28,5320.00
S598958A,CB,1,USD,19655977.99,195781.00
S598958A,CB,1,USD,10337199.39,22872.00
S598958A,CB,1,USD,18999327.49,90310.00
S598958A,CB,1,USD,10205965.14,131334.00
S598958A,CB,1,USD,14178030.19,42550.00
S598958A,CB,1,USD,16972679.83,280500.00
S598958A,CB,1,USD,9730646.97,49188.00
S598958A,CB,1,USD,12455135.00,205700.00
S598958A,CB,1,USD,21965542.47,199356.00
S598958A,CB,1,USD,11436496.79,211127.00
S598958A,CB,1,USD,12680227.48,29703.00
S598958A,CB,1,USD,23888596.73,99451.00
S598958A,CB,1,USD,12907362.08,65748.00
S598958A,CB,1,USD,21064321.26,454963.00
S598958A,CB,1,USD,17387418.70,148601.00
S598958A,CB,1,USD,57875916.06,569757.00
S598958A,CB,1,USD,13020219.85,4835.00
S598958A,CB,1,USD,16493630.04,76317.00
S598958A,CB,1,USD,43158951.73,272011.00
S598958A,CB,1,USD,10469974.10,90830.00
S598958A,CB,1,USD,21841558.57,195472.00
S598958A,CB,1,USD,12209149.07,84261.00
S598958A,CB,1,USD,11267220.30,1000819.00
S598958A,CB,1,USD,13455848.57,221100.00
S598958A,CB,1,USD,11713446.68,192400.00
S598958A,CB,1,USD,25522957.95,119947.00
S598958A,CB,1,USD,20414718.63,6626.00
S598958A,CB,1,USD,24573887.36,64444.00
S598958A,CB,1,USD,10170669.84,31423.00
