PortfolioManager,SecurityType,Elbow,Currency,Net Amount,Quantity
S598958A,CB,2,USD,179.28,72.00
S598958A,CB,2,USD,97.11,39.00
S598958A,CB,2,USD,124098.70,383.00
S598958A,CB,2,USD,17.43,7.00
S598958A,CB,2,USD,601447.47,8600.00
S598958A,CB,2,USD,134.46,54.00
S598958A,CB,2,USD,7.47,3.00
S598958A,CB,2,USD,136.95,55.00
S598958A,CB,2,USD,351.09,141.00
S598958A,CB,2,USD,112.05,45.00
S598958A,CB,2,USD,2.49,1.00
S598958A,CB,2,USD,786.84,316.00
S598958A,CB,2,USD,491858.56,1518.00
S598958A,CB,2,USD,9.96,4.00
S598958A,CB,2,USD,52.29,21.00
S598958A,CB,2,USD,771.90,310.00
S598958A,CB,2,USD,12.45,5.00
S598958A,CB,2,USD,84.66,34.00
S598958A,CB,2,USD,60807.54,240.00
S598958A,CB,2,USD,233158.80,2870.00
S598958A,CB,2,USD,235106.86,1294.00
S598958A,CB,2,USD,236522.10,4721.00
S598958A,CB,2,USD,235938.99,1051.00
S598958A,CB,2,USD,234154.69,3157.00
S598958A,CB,2,USD,234814.26,6483.00
S598958A,CB,2,USD,311239.15,1201.00
S598958A,CB,2,USD,99458.46,5483.00
S598958A,CB,2,USD,754373.84,10081.00
S598958A,CB,2,USD,148990.28,6610.00
S598958A,CB,2,USD,204221.93,8415.00
S598958A,CB,2,USD,644380.37,13584.00
S598958A,CB,2,USD,40613.05,4888.00
S598958A,CB,2,USD,79806.89,6283.00
S598958A,CB,2,USD,164907.14,2443.00
S598958A,CB,2,USD,259266.02,3983.00
S598958A,CB,2,USD,103770.31,33779.00
S598958A,CB,2,USD,114162.70,1349.00
S598958A,CB,2,USD,353121.30,3387.00
S598958A,CB,2,USD,494251.70,1661.00
S598958A,CB,2,USD,566937.60,7429.00
S598958A,CB,2,USD,998691.99,19652.00
S598958A,CB,2,USD,317096.34,3748.00
S598958A,CB,2,USD,267343.13,8824.00
S598958A,CB,2,USD,98688.32,4553.00
S598958A,CB,2,USD,88269.14,12150.00
S598958A,CB,2,USD,222942.46,5192.00
S598958A,CB,2,USD,586172.73,7119.00
S598958A,CB,2,USD,354744.93,3633.00
S598958A,CB,2,USD,449233.38,6512.00
S598958A,CB,2,USD,604833.27,9598.00
S598958A,CB,2,USD,330875.01,3001.00
S598958A,CB,2,USD,60220.04,3760.00
S598958A,CB,2,USD,127200.98,3027.00
S598958A,CB,2,USD,288725.34,6136.00
S598958A,CB,2,USD,44116.76,1857.00
